"SYMBOL 
","SERIES 
","BOND TYPE 
","COUPON RATE 
","FACE VALUE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE 
 (₹ Crores)"," 
","CREDIT RATING 
","MATURITY DATE 
"
"734IRFC28","N4","Regular","7.34","1,000.00","1,085.00","0.72","1,030","0.11",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","19-Feb-2028"
"SCLZC26C","NB",,"-","-","1,095.00","7.88","1,000","0.11",,,"-"
"901NHB34","N6","Regular","9.01","5,000.00","6,488.00","1.49","156","0.10",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA STABLE","13-Jan-2034"
"965AEL27","N4","Regular","9.65","1,000.00","1,060.00","-","850","0.09",,"CARE A+","12-Sep-2027"
"76NHAI31","NA","Regular","7.60","1,000.00","1,105.20","0.09","599","0.07",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","11-Jan-2031"
"1025SCL34B","N1","Regular","10.25","1,000.00","1,000.00","-0.99","500","0.05",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2034"
"737NTPC35C","NA","Regular","7.37","1,000.00","1,402.00","18.31","388","0.05",,"CRISIL AAA / CARE AAA / ICRA AAA STABLE","05-Oct-2035"
"886REC34","NG","Regular","8.86","1,000.00","1,288.85","-0.69","250","0.03",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA ","24-Mar-2034"
"957ICCL25","YW","Regular","9.30","1,000.00","1,020.00","-2.67","300","0.03",,"CRISIL AA+ STABLE /  IND AA+ STABLE","06-Feb-2029"
"866NTPC33","N3","Regular","8.66","1,000.00","1,470.00","19.46","200","0.03",,"CRISIL AAA / ICRA AAA STABLE","16-Dec-2033"
"1050ISFL28","N5","Regular","10.50","1,000.00","997.00","3.85","204","0.02",,"CRISIL AA-Positive /ACUITE AA- Stable","21-Dec-2028"
"897MOFSL29","N4","Regular","8.97","1,000.00","1,010.00","-0.79","200","0.02",,"CRISIL AA Stable / FITCH AA Stable","09-May-2029"
"105IIFL29","N7","Regular","10.50","1,000.00","952.00","-11.85","200","0.02",,"CRISIL AA STABLE / ICRA AA STABLE / BWR AA+ STABLE","07-Feb-2029"
"79NHIT40","N2","Regular","7.90","300.00","305.50","0.16","337","0.01",,"CARE AAA Stable / IND AAA/Stable","14-Nov-2040"
"751HUDCO28","N5","Regular","7.51","1,000.00","1,070.00","1.30","90","0.01",,"CARE AA+ / IND AA+","16-Feb-2028"
"96IIFL28A","NF","Regular","9.60","1,000.00","953.00","0.53","100","0.01",,"CRISIL AA Negative / BWR AA+ Negative","24-Jun-2028"
"96SFIL24A","NB",,"-","-","1,099.99","-","65","0.01",,,"-"
"893NHB29","N6","Regular","8.93","5,000.00","5,609.97","0.06","12","0.01",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA STABLE","24-Mar-2029"
"875NHAI29","N6","Regular","8.75","1,000.00","1,144.25","-0.33","58","0.01",,"CRISIL AAA STABLE / CARE AAA / BWR AAA STABLE ","05-Feb-2029"
"1050NFL26","N7","Regular","10.50","1,000.00","1,000.00","-0.50","64","0.01",,"CRISIL A Stable","18-Jul-2026"
"865IRFC29","NA","Regular","8.65","1,000.00","1,148.00","2.50","50","0.01",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","18-Feb-2029"
"910TCAP28","NA",,"-","-","1,083.00","-","50","0.01",,,"-"
"898LTF29","N7","Regular","8.98","1,000.00","1,059.30","-1.00","50","0.01",,"FITCH AA+","13-Mar-2029"
"82HUDCO27","N2","Regular","8.20","1,000.00","1,054.00","-0.09","50","0.01",,"CARE AA+ / IND AA+","05-Mar-2027"
"764NABAR31","N2","Regular","-","-","1,108.00","-","40","-",,,"23-Mar-2031"
"10NFL25","N9","Regular","10.00","1,000.00","994.00","-0.15","35","-",,"CRISIL A/Stable","13-Sep-2025"
"TCHF30","NB","Regular","8.55","1,000.00","1,070.00","3.38","30","-",,"CRISIL AAA STABLE / ICRA AAA STABLE","14-Jan-2030"
"IMC1","N0",,"-","-","249.05","0.30","124","-",,,"-"
"915SCL26","NE",,"-","-","1,017.00","-","30","-",,,"-"
"92SFIL28","ND",,"-","-","975.30","0.02","25","-",,,"-"
"IMC1","N1",,"-","-","252.00","-","83","-",,,"-"
"732IRFC25","NI","Regular","7.32","1,000.00","1,044.00","0.10","20","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","21-Dec-2025"
"865TCAPS27","N8",,"-","-","1,067.00","0.09","19","-",,,"-"
"871REC28","N9","Regular","8.71","1,000.00","1,129.50","0.31","10","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","24-Sep-2028"
"9MMFSML","N2",,"-","-","1,086.00","-0.31","10","-",,,"-"
"935LTF29","N5","Regular","9.35","1,000.00","1,070.00","-","10","-",,"FITCH AA+","13-Mar-2029"
"729IRFC26","NN","Regular","7.29","1,000.00","1,031.11","-1.99","10","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","22-Mar-2026"
"965IHFL25D","N7","Regular","-","1,000.00","1,139.00","-","9","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","09-Jun-2025"
"960CAGL25","N3","Regular","9.60","1,000.00","981.20","-0.84","10","-",,"IRR AA-/Stable","23-Nov-2025"
"843IHFL29","NC","Regular","8.43","1,000.00","930.00","-1.94","10","-",,"CRISIL AA Stable / BWR AA+  Negative","03-Jan-2029"
"830PFCL27","N5","Regular","-","-","1,089.95","-","6","-",,,"01-Feb-2027"
"1065NFL27","NC","Regular","10.65","1,000.00","1,003.50","-","5","-",,"CRISIL A/Stable","13-Mar-2027"
"1030SFIL26","NJ",,"-","-","1,200.90","1.32","4","-",,,"-"
"830NHAI27","N2","Regular","8.30","1,000.00","1,093.00","0.50","1","-",,"CRISIL AAA STABLE / CARE AAA / IND AAA STABLE ","25-Jan-2027"
"1003ISFL28","N4","Regular","10.03","1,000.00","999.00","-","-","-",,"CRISIL AA-Positive /ACUITE AA- Stable","21-Dec-2028"
"1025UCL25","N8","Regular","10.25","1,000.00","995.00","-","-","-",,"FITCH A/Stable","27-Aug-2025"
"10NIDO26","N6","Regular","10.00","1,000.00","1,045.00","-","-","-",,"CARE AA Stable / ICRA AA Stable / BWR AA+ stable","19-Jul-2026"
"762NTPC35F","ND","Regular","7.62","1,000.00","1,212.00","-","-","-",,"CRISIL AAA / CARE AAA / ICRA AAA STABLE","05-Oct-2035"
"769IGT28","NH","Regular","7.69","1,000.00","1,000.00","-","-","-",,"IND AAA Stable / CRISIL AAA Stable","06-May-2028"
"855IREDA29","N2","Regular","8.55","1,000.00","1,107.00","-","-","-",,"CARE AAA (SO) / BWR AAA (SO) STABLE","13-Mar-2029"
"863IRFC29","NC","Regular","8.63","1,000.00","1,115.70","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","26-Mar-2029"
"875IIFL26","NM","Regular","8.75","1,000.00","1,020.00","0.02","-","-",,"CRISIL AA Stable/ BWR AA+ Negative","14-Oct-2026"
"925ERFL28","N6","Regular","9.25","1,000.00","925.01","-","-","-",,"CRISIL AA STABLE / ICRA AA STABLE","22-Mar-2028"
"970CAGL28","ND","Regular","9.70","1,000.00","1,011.90","-","-","-",,"AA-/Stable","07-Sep-2028"
"97SFL28","YS","Regular","9.70","1,000.00","1,068.00","-","-","-",,"CRISIL AA+ STABLE /  IND AA+ STABLE","02-Nov-2028"
"985IIFL22","NC","Regular","10.00","1,000.00","1,002.90","-","-","-",,"CRISIL AA STABLE / ICRA AA STABLE / BWR AA+ STABLE","06-Jun-2025"
"9PEL25","N0","Regular","9.00","1,000.00","1,021.01","-","-","-",,"AA/Stable, AA/Stable","03-Nov-2025"
"11UCL26","NC","Regular","11.00","1,000.00","1,000.35","-","-","-",,"FITCH A/Stable","27-May-2026"
"862REC33","NA","Regular","8.62","1,000.00","1,240.00","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","24-Sep-2033"
"935PEL33","N3","Regular","9.35","1,000.00","1,099.00","-","-","-",,"AA/Stable, AA/Stable","03-Nov-2033"
"CAGL27A","N6","Regular","-","1,000.00","1,275.32","-","-","-",,"IRR AA-/Stable","23-Nov-2027"
"975SCL28","NT",,"-","-","971.00","-","-","-",,,"-"
"0SCL26","YR",,"-","-","1,057.20","-","-","-",,,"-"
"CIFCZC28A","N5","Regular","-","1,000.00","1,130.00","-","-","-",,"ICRA AA+","04-May-2028"
"891IIFCL34","N4","Regular","-","-","1,250.00","-","-","-",,,"22-Jan-2034"
"CIFC26","NK","Regular","-","1,000.00","1,069.00","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","31-Jan-2026"
"965SCL25F","NZ",,"-","-","890.00","-","-","-",,,"-"
"1025UCL26A","N1","Regular","10.25","1,000.00","992.45","-","-","-",,"IND A+/ Stable","24-Oct-2026"
"965SCL26Y","N1","Regular","9.65","1,000.00","910.20","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","27-Dec-2026"
"925IHFL31","N1","Regular","9.25","1,000.00","980.00","-","-","-",,"CRISIL AA/ Stable & Ind-RA AA/ Stable","26-Dec-2031"
"IHFL261224","N1","Regular","-","1,000.00","961.55","-","-","-",,"CRISIL AA/ Stable & Ind-RA AA/ Stable","26-Dec-2026"
"925IHFL29","N1","Regular","9.25","1,000.00","980.00","-","-","-",,"CRISIL AA/ Stable & Ind-RA AA/ Stable","26-Dec-2029"
"SCLZC26G","YA",,"-","-","1,050.80","-","-","-",,,"-"
"948SCL27","YV",,"-","-","950.00","-","-","-",,,"-"
"SCLZC26A","NF",,"-","-","2,000.00","-","-","-",,,"-"
"IHF261224","N1","Regular","-","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & Ind-RA AA/ Stable","26-Dec-2027"
"12VCCL27B","N0",,"-","-","1,00,400.00","-","-","-",,,"-"
"CAGL27","NC","Regular","-","1,000.00","1,058.00","-","-","-",,"AA-/Stable","07-Nov-2027"
"CIF29","NO","Regular","-","1,000.00","-","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","31-Jan-2029"
"8ABCL26","N2",,"-","-","-","-","-","-",,,"-"
"925SCL26Z","N1","Regular","9.25","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","27-Dec-2026"
"1025IIFL30","Y3",,"-","-","-","-","-","-",,,"-"
"925SCL26","NR",,"-","-","835.05","-","-","-",,,"-"
"888SCL25B","Y2",,"-","-","-","-","-","-",,,"-"
"940SCL26B","Y6",,"-","-","-","-","-","-",,,"-"
"10IIFL29","N6","Regular","10.00","1,000.00","985.01","-","-","-",,"CRISIL AA STABLE / ICRA AA STABLE / BWR AA+ STABLE","07-Feb-2029"
"736NTPC25D","NB","Regular","7.36","1,000.00","1,048.00","-","-","-",,"CRISIL AAA / CARE AAA / ICRA AAA STABLE","05-Oct-2025"
"764IRFC31","NO","Regular","7.64","1,000.00","1,132.00","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","22-Mar-2031"
"875PCHFL26","N8","Regular","8.75","1,000.00","1,069.00","-","-","-",,"CARE AA / ICRA AA ","23-Jul-2026"
"921ISFL25","N0",,"-","-","993.80","-","-","-",,,"-"
"943ECL28","NJ","Regular","9.43","1,000.00","966.99","-","-","-",,"CRISIL AA STABLE / ICRA AA STABLE","06-Aug-2028"
"957NIDO26","N5","Regular","9.57","1,000.00","961.15","-","-","-",,"CARE AA Stable / ICRA AA Stable / BWR AA+ stable","19-Jul-2026"
"76IGT26","ND","Regular","7.60","1,000.00","998.40","-","-","-",,"IND AAA Stable / CRISIL AAA Stable","06-May-2026"
"750IRFC35","NK","Regular","7.50","1,000.00","1,191.00","0.10","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","21-Dec-2035"
"875IIFL26A","NQ","Regular","8.75","1,000.00","986.25","-","-","-",,"CRISIL AA Stable / ICRA AA  Stable","24-Jan-2026"
"905PEL26","N1","Regular","9.05","1,000.00","1,034.00","-","-","-",,"AA/Stable, AA/Stable","03-Nov-2026"
"IIFLZC25B","NW","Regular","-","1,000.00","1,136.65","-","-","-",,"CRISIL AA Stable / ICRA AA Stable","28-Jun-2025"
"704REC28","N4","Regular","7.04","1,000.00","1,060.51","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","25-Mar-2028"
"9SCL26BA","NA",,"-","-","1,003.66","-","-","-",,,"-"
"925SCFL27","YA",,"-","-","990.65","-","-","-",,,"-"
"CIFC28","NB","Regular","-","1,000.00","1,120.00","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","09-Aug-2028"
"AEL120924A","N5","Regular","-","1,000.00","1,235.00","-","-","-",,"CARE A+","12-Sep-2027"
"79IGT28","NF","Regular","7.90","1,000.00","920.22","-","-","-",,"IND AAA Stable / CRISIL AAA Stable","06-May-2028"
